incident_id,event_date,loss_amount,event_type,root_cause,unit_name,year_month,z_score,is_outlier
1,2023-01-20,829.64,"Execution, Delivery & Process Management",Technology failure,Consumer Lending,2023-01,-1.3465359660965044,False
2,2023-01-15,8186.51,Business Disruption & System Failures,Fraudulent activity,Portfolio Administration,2023-01,0.15372890979877527,False
3,2023-01-15,2341.46,"Execution, Delivery & Process Management",Third-party failure,Trade Finance,2023-01,-0.6665834962214503,False
4,2023-01-27,2332.82,"Execution, Delivery & Process Management",Technology failure,Trade Finance,2023-01,-0.6690062206688306,False
5,2023-01-16,295132.84,Employment Practices & Workplace Safety,Fraudulent activity,Portfolio Administration,2023-01,2.50312449288549,True
6,2023-01-03,9235.16,External Fraud,Inadequate training,Payments Processing,2023-01,0.23271863646915195,False
7,2023-01-11,16019.25,Damage to Physical Assets,Process gap,Trade Finance,2023-01,0.5936688484266295,False
8,2023-02-05,6465.2,External Fraud,Data entry error,Portfolio Administration,2023-02,-0.0009693329530483016,False
9,2023-02-23,25580.85,Business Disruption & System Failures,Third-party failure,Portfolio Administration,2023-02,0.9004081709541052,False
10,2023-02-03,21808.35,"Clients, Products & Business Practices",Control override,Corporate Lending,2023-02,0.7958460659587488,False
11,2023-02-18,2283.17,"Clients, Products & Business Practices",Human error,Private Client Advisory,2023-02,-0.6831048097075676,False
12,2023-02-07,3651.69,"Clients, Products & Business Practices",Documentation error,Corporate Lending,2023-02,-0.3753350478082907,False
13,2023-03-31,21261.29,"Execution, Delivery & Process Management",Documentation error,Portfolio Administration,2023-03,0.7791969343881435,False
14,2023-03-13,8316.54,Internal Fraud,Control override,Trade Finance,2023-03,0.1640563536669715,False
15,2023-03-10,228.14,"Execution, Delivery & Process Management",Data entry error,Private Client Advisory,2023-03,-2.1926164028072628,False
16,2023-03-18,4710.63,"Clients, Products & Business Practices",Third-party failure,Private Client Advisory,2023-03,-0.2084617752943517,False
17,2023-03-09,30592.69,"Clients, Products & Business Practices",Human error,Trade Finance,2023-03,1.0176617972017121,False
18,2023-04-13,16368.15,Business Disruption & System Failures,Data entry error,Private Client Advisory,2023-04,0.6077892222397188,False
19,2023-04-24,1403.6,"Execution, Delivery & Process Management",Fraudulent activity,Private Client Advisory,2023-04,-1.001949504659019,False
20,2023-04-30,2935.7,Damage to Physical Assets,Technology failure,Portfolio Administration,2023-04,-0.518361748742334,False
21,2023-04-01,26112.7,Damage to Physical Assets,Documentation error,Portfolio Administration,2023-04,0.9138938443964982,False
22,2023-04-22,11410.82,Internal Fraud,Data entry error,IT Infrastructure,2023-04,0.37135444134171086,False
23,2023-04-05,6501.14,External Fraud,Human error,Consumer Lending,2023-04,0.0026636744958829935,False
24,2023-05-09,701.37,Employment Practices & Workplace Safety,Third-party failure,Retail Branch Network,2023-05,-1.4566064380945614,False
25,2023-05-15,7651.87,Employment Practices & Workplace Safety,Data entry error,IT Infrastructure,2023-05,0.10946801042855679,False
26,2023-05-09,18462.43,Employment Practices & Workplace Safety,Process gap,Portfolio Administration,2023-05,0.6866938984756529,False
27,2023-05-16,4029.46,Business Disruption & System Failures,Technology failure,Private Client Advisory,2023-05,-0.3108207083015102,False
28,2023-05-02,16067.36,External Fraud,Process gap,Private Client Advisory,2023-05,0.5956340918673503,False
29,2023-05-25,1267.92,"Execution, Delivery & Process Management",Human error,Trade Finance,2023-05,-1.0685742765156516,False
30,2023-05-31,435.39,External Fraud,Human error,Trade Finance,2023-05,-1.7690738523825804,False
31,2023-05-20,6922.62,External Fraud,System outage,Portfolio Administration,2023-05,0.04383075577342157,False
32,2023-05-16,669.69,Damage to Physical Assets,Third-party failure,Retail Branch Network,2023-05,-1.4868972230869655,False
33,2023-05-15,27802.52,"Execution, Delivery & Process Management",Control override,IT Infrastructure,2023-05,0.9549876006509198,False
34,2023-05-06,26531.38,"Execution, Delivery & Process Management",System outage,Consumer Lending,2023-05,0.9243181309334265,False
35,2023-06-10,5447.15,Damage to Physical Assets,Human error,Portfolio Administration,2023-06,-0.11325823960338119,False
36,2023-06-30,876.21,Damage to Physical Assets,Data entry error,Corporate Lending,2023-06,-1.3107446362757187,False
37,2023-06-13,26287.05,Internal Fraud,Documentation error,Portfolio Administration,2023-06,0.9182549725437302,False
